Title,Published_date,Views,Likes,Comments
Introduction | Mathematics and statistics for data science and machine learning,2021-04-18,118735,3133,297
"What is logarithm? | Math, Statistics for data science, machine learning",2021-04-18,51413,1648,170
LIVE: Data Science Q&A,2021-04-17,10809,382,26
Business Analyst VS Data Analyst,2021-04-15,50294,1587,113
What is Edge AI? | What is edge computing?,2021-04-13,5636,236,21
FIRST LOOK: NVIDIA DGX Station A100 Unboxing,2021-04-12,25521,515,71
LIVE Data Analyst Q&A Ft. Alex The Analyst,2021-04-10,8938,398,27
Why bitcoin price is going up? | Why crypto going up?,2021-04-09,4026,151,34
"PHD in machine learning or data science, is it worth?",2021-04-08,12646,348,51
How bitcoin miners collect their reward? | How miners send mining reward in their digital wallet?,2021-04-05,20367,509,143
"What is Word2Vec? A Simple Explanation | Deep Learning Tutorial 41 (Tensorflow, Keras & Python)",2021-04-04,24180,771,44
LIVE Data Science and Programming Q&A: Ft. Bhavesh Bhatt,2021-04-03,4536,191,11
He completed his data science masters in USA for FREE!,2021-04-01,25582,537,19
Join with me to attend FREE AI Conference NVIDIA GTC: April 12 to 16,2021-03-27,4306,175,189
LIVE Q&A: Data science transition from non technical background,2021-03-26,5065,173,7
"Word embedding using keras embedding layer | Deep Learning Tutorial 40 (Tensorflow, Keras & Python)",2021-03-24,17502,453,34
What is Bitcoin | How does bitcoin work | Easy Explanation of Bitcoin | Explain Bitcoin as If I am 5,2021-03-20,26065,656,92
How can you start learning data science from your school days?,2021-03-19,4920,133,57
Masters in data science or computer science with ML subjects? Which one is better?,2021-03-17,39778,707,139
How do I manage time for youtube channel and 9 to 6 job?,2021-03-14,8062,482,81
"Converting words to numbers, Word Embeddings | Deep Learning Tutorial 39 (Tensorflow & Python)",2021-03-13,16092,455,39
Mechanical Engineer To Data Analyst,2021-03-11,24367,632,49
Should I join startup OR a big mnc company OR pursue masters abroad ?,2021-03-09,5726,334,53
Ask me anything: LIVE Q&A,2021-03-07,4466,211,37
Masters in business analytics from Australia | Guidance and tips,2021-03-06,10542,280,33
Python Pandas Tutorial 15. Handle Large Datasets In Pandas | Memory Optimization Tips For Pandas,2021-03-04,11643,320,14
Petroleum Engineer To Data Scientist,2021-03-02,10923,233,23
"Bidirectional RNN | Deep Learning Tutorial 38 (Tensorflow, Keras & Python)",2021-02-28,13905,403,28
"Bug Wars Episode 1: Software Engineer VS a BUG, An Epic Battle, Star Wars Style",2021-02-27,3903,151,46
Why is Python slow?,2021-02-24,6449,394,58
Simple Explanation of GRU (Gated Recurrent Units) | Deep Learning Tutorial 37 (Tensorflow & Python),2021-02-21,22017,610,22
Conversation With a Python Steering Council Member,2021-02-20,2213,124,6
Learn DevOps Skills For Free Using KodeKloud Engineer,2021-02-17,10711,393,46
Data Science Masters in USA | Guidance and Tips,2021-02-14,34948,1120,68
Simple Explanation of Recursion | Recursion Python| Data Structures & Algorithms Tutorial Python #20,2021-02-13,29464,1054,95
QR Code In 10 lines of Python Code | Generate and Access QR Code Easily Using Python,2021-02-09,54506,1233,85
"Simple Explanation of LSTM | Deep Learning Tutorial 36 (Tensorflow, Keras & Python)",2021-02-06,100667,2710,158
Power BI Data Analytics Project: Personal Finance Dashboard,2021-01-30,39587,1073,125
Instagram automation with 10 lines of python code | Python Instagram BOT,2021-01-27,157755,3958,568
"Vanishing and exploding gradients | Deep Learning Tutorial 35 (Tensorflow, Keras & Python)",2021-01-23,18941,595,33
Parameters vs hyperparameters in machine learning,2021-01-21,7728,269,21
He got 5 internships and 2 job offers | Interview with Zomato machine learning engineer,2021-01-17,7335,268,55
Not getting any interview calls? Do this. |  How to get interview calls?,2021-01-16,29215,1080,125
Should I pursue data analyst masters in USA?,2021-01-15,13690,350,69
Types of RNN | Recurrent Neural Network Types | Deep Learning Tutorial 34 (Tensorflow & Python),2021-01-15,14434,390,12
"What is Recurrent Neural Network (RNN)? Deep Learning Tutorial 33 (Tensorflow, Keras & Python)",2021-01-12,69371,1620,98
Do this to get a data science job abroad,2021-01-10,57766,1940,150
"Going to USA for data science Or computer science masters, good idea?",2021-01-08,52137,2481,300
Object detection using YOLO v4 and pre trained model | Deep Learning Tutorial 32 (Tensorflow),2021-01-07,59713,1261,60
Bitcoin mining with 15 lines of python code | Python Bitcoin Tutorial,2021-01-03,976660,29734,3328
Data Scientist vs Machine Learning Engineer | DS vs ML,2021-01-02,41059,1538,110
Codebasics Hindi Channel | Codebasics हिंदी,2021-01-01,3704,192,35
"Skillbasics.com, a website for your tech learning! Wish you all a very happy new year !",2020-12-31,5942,460,89
Build language translator with 3 lines of python code,2020-12-30,35731,974,125
Top 5 Programming Languages To Learn in 2021,2020-12-27,97804,1410,275
Can anyone learn coding? | How to learn coding faster?,2020-12-26,9052,543,101
"What is YOLO algorithm? | Deep Learning Tutorial 31 (Tensorflow, Keras & Python)",2020-12-25,181910,4159,148
Participate in codebasics contests and win prizes!,2020-12-24,2271,169,39
Life of a programmer in one word,2020-12-24,2690,152,28
"Sliding Window Object Detection | Deep Learning Tutorial 30 (Tensorflow, Keras & Python)",2020-12-23,17110,448,27
Tableau Data Analysis Project: Sales Insights : 6 - Feedback From Stakeholders & Profit Analysis,2020-12-21,19742,528,60
My YouTube setup (hardware and software) | Youtube Setup For Coding Channel,2020-12-20,7744,255,36
Tableau Data Analysis Project: Sales Insights :  5 - Build Tableau Dashboard,2020-12-19,38157,920,89
Tableau Data Analysis Project: Sales Insights : 4 - Data Cleaning & ETL in Tableau,2020-12-18,30879,565,62
Tableau Data Analysis Project: Sales Insights : 3 - Data Analysis Using SQL,2020-12-17,48411,856,86
Tableau Data Analysis Project: Sales Insights : 2 - Data Discovery,2020-12-16,32132,568,33
Tableau Data Analysis Project: Sales Insights : 1 - Problem Statement,2020-12-15,61797,1344,84
"200k Subscribers, Big announcement and Channel Update",2020-12-12,5271,363,85
Data science career tips from H20.ai machine learning engineer and a Kaggle expert,2020-12-11,9651,243,25
What is GPT3? | GPT3 demo,2020-12-08,13354,508,50
"Popular datasets for computer vision: ImageNet, Coco and Google Open images | Deep Learning 29",2020-12-07,17675,459,38
Oyo rooms data analyst will teach you how to get a data analyst internship,2020-12-06,42989,1669,102
"Learn coding in 3 months, step by step coding roadmap | Learn coding for absolute beginners",2020-12-01,370055,15725,575
Image classification vs Object detection vs Image Segmentation | Deep Learning Tutorial 28,2020-11-30,23744,646,31
He earned 1.5 lakh rs a month as a freelancer | Live session,2020-11-29,12971,516,30
"Project announcement to help blind people using Computer Vision, NLP & IOT",2020-11-28,3997,243,17
How to get software engineering internship | How to get programming Job,2020-11-28,19344,533,66
Selection Sort in python - Data Structures & Algorithms Tutorial Python #19,2020-11-27,16778,276,51
"Machine Learning Tutorial Python - 17: L1 and L2 Regularization | Lasso, Ridge Regression",2020-11-26,76200,1970,120
"Learn data analyst skills in 3 months, step by step | Complete data analyst roadmap in 2022",2020-11-25,627778,24475,953
"AI will kill all jobs in this world, really?",2020-11-24,12136,577,112
"Transfer Learning | Deep Learning Tutorial 27 (Tensorflow, Keras & Python)",2020-11-23,45723,1109,78
He became top rated freelancer in first 4 months on upwork | Data analyst freelancer,2020-11-22,275045,7930,459
Grocery Store Application - 6. List orders | Python project tutorial,2020-11-21,11513,160,18
Grocery Store Application - 5. Insert order functionality | Python project tutorial,2020-11-20,7532,89,16
Convert python file to exe in less than 2 minutes (.py to .exe),2020-11-20,28479,276,38
Grocery Store Application - 4. Products Frontend | Python project tutorial,2020-11-19,15306,216,25
Grocery Store Application - 3. Products Backend | Python project tutorial,2020-11-18,26663,425,62
Grocery Store Application - 2. Database Design | Python project tutorial,2020-11-17,37496,546,52
Grocery Store Application - 1. Overview | Python project tutorial,2020-11-16,53484,1076,63
Do you need help with live mock coding interviews?,2020-11-07,2798,116,22
Snake and apple game in python pygame - 1. Intro and create surface | Python project tutorial,2020-11-07,27086,548,66
Snake and apple game in python pygame - 2. Converting into OOP | Python project tutorial,2020-11-07,5572,133,11
Snake and apple game in python pygame - 3. Moving block with timer | Python project tutorial,2020-11-07,3688,67,2
Snake and apple game in python pygame - 4. Draw snake and apple | Python project tutorial,2020-11-07,3163,55,11
"Snake and apple game in python pygame - 5. Snake eats apple, find score | Python project tutorial",2020-11-07,6815,59,5
Snake and apple game in python pygame - 6. Game over logic | Python project tutorial,2020-11-07,2524,63,5
"Snake and apple game in python pygame - 7. Add background music,image | Python project tutorial",2020-11-07,3949,46,13
Snake and apple game in python pygame - 8. Convert python to exe | Python project tutorial,2020-11-07,6756,151,14
Organic Farm Visit in my Village,2020-11-04,6624,329,39
"Data augmentation to address overfitting | Deep Learning Tutorial 26 (Tensorflow, Keras & Python)",2020-11-01,36506,775,76
Shell Sort - Data Structures & Algorithms Tutorial Python #18,2020-10-31,16646,319,28
Noise removal using AI: NVIDIA broadcast,2020-10-30,7230,289,73
"Convolution padding and stride | Deep Learning Tutorial 25 (Tensorflow2.0, Keras & Python)",2020-10-26,24043,807,35
How to get a job after learning data science skills,2020-10-25,30176,1260,99
Image classification using CNN (CIFAR10 dataset) | Deep Learning Tutorial 24 (Tensorflow & Python),2020-10-24,163765,2970,209
Merge Sort - Data Structures & Algorithms Tutorial Python #17,2020-10-21,39803,728,89
Step by step roadmap to learn data science in 6 months |  Complete data science roadmap,2020-10-17,476523,18829,1096
Simple explanation of convolutional neural network | Deep Learning Tutorial 23 (Tensorflow & Python),2020-10-14,256711,6437,457
How to ask technical questions in a right way?,2020-10-11,1857,137,47
"Applications of computer vision | Deep Learning Tutorial 22 (Tensorflow2.0, Keras & Python)",2020-10-08,33239,1242,41
How to become industry ready when you are in college,2020-10-06,5897,437,70
Surprise announcement for you all (MUST watch),2020-10-04,6423,309,75
How to build logic in programming | Tips to improving logic building in programming,2020-10-03,28759,1269,113
Insertion Sort - Data Structures & Algorithms Tutorial Python #16,2020-10-02,28578,521,50
Announcing Discord Server For Codebasics,2020-10-01,3485,219,50
Handling imbalanced dataset in machine learning | Deep Learning Tutorial 21 (Tensorflow2.0 & Python),2020-09-24,53038,1431,125
"Dropout Regularization | Deep Learning Tutorial 20 (Tensorflow2.0, Keras & Python)",2020-09-23,24411,930,51
How to earn money by coding | Make money by programming,2020-09-22,126144,4634,263
Quick Sort - Data Structures & Algorithms Tutorial Python #15,2020-09-20,38919,748,63
Bubble Sort - Data Structures & Algorithms Tutorial Python #14,2020-09-18,29463,744,59
Binary Search - Data Structures & Algorithms Tutorial Python #13,2020-09-17,28238,597,64
Complete python roadmap | How to become an expert in python programming,2020-09-13,596123,22115,964
"Precision, Recall, F1 score, True Positive|Deep Learning Tutorial 19 (Tensorflow2.0, Keras & Python)",2020-09-08,71158,1952,139
"Customer churn prediction using ANN | Deep Learning Tutorial 18 (Tensorflow2.0, Keras & Python)",2020-09-07,51225,1197,124
Data Analyst Career Guidance Live Q&A,2020-09-06,4557,229,18
How important is programming and machine learning for a Data Analyst?,2020-09-05,11606,605,62
8 Skills to get a data analyst job | Skills to become successful data analyst,2020-09-02,478699,17751,652
"GPU bench-marking with image classification | Deep Learning Tutorial 17 (Tensorflow2.0, Python)",2020-08-31,21380,630,68
Data Science In Biology | How a biologist became a data scientist,2020-08-30,6729,242,35
"Tensorboard Introduction | Deep Learning Tutorial 16 (Tensorflow2.0, Keras & Python)",2020-08-29,27041,700,52
How to pass a coding interview | Coding interview preparation|Interview tips for software developer,2020-08-26,67515,2247,106
"Chain Rule | Deep Learning Tutorial 15 (Tensorflow2.0, Keras & Python)",2020-08-24,19838,938,70
"Interview with a siemens data scientist, TEDx speaker | Vijay Pravin Maharajan",2020-08-23,5313,233,24
Graph Introduction - Data Structures & Algorithms Tutorials In Python #12,2020-08-22,70621,1426,133
Building 3500$ Deep Learning Workstation | Deep Learning PC build From Scratch,2020-08-20,24898,630,86
Stochastic Gradient Descent vs Batch Gradient Descent vs Mini Batch Gradient Descent |DL Tutorial 14,2020-08-18,46709,1485,143
"Implement Neural Network In Python | Deep Learning Tutorial 13 (Tensorflow2.0, Keras & Python)",2020-08-15,29305,656,56
"Loss or Cost Function | Deep Learning Tutorial 11 (Tensorflow Tutorial, Keras & Python)",2020-08-14,41950,1138,66
"Gradient Descent For Neural Network | Deep Learning Tutorial 12 (Tensorflow2.0, Keras & Python)",2020-08-14,50515,1541,195
"Matrix Basics | Deep Learning Tutorial 10 (Tensorflow Tutorial, Keras & Python)",2020-08-04,27815,931,47
"Derivatives | Deep Learning Tutorial 9 (Tensorflow Tutorial, Keras & Python)",2020-08-01,31674,1136,143
NVIDIA TITAN RTX UNBOXING,2020-07-31,4031,165,47
Data science career tips from Ken Jee (Data scientist and a youtuber),2020-07-21,3790,163,20
"Activation Functions | Deep Learning Tutorial 8 (Tensorflow Tutorial, Keras & Python)",2020-07-20,62145,2557,116
Neural Network For Handwritten Digits Classification | Deep Learning Tutorial 7 (Tensorflow2.0),2020-07-18,120777,2367,315
"Pytorch vs Tensorflow vs Keras | Deep Learning Tutorial 6 (Tensorflow Tutorial, Keras & Python)",2020-07-17,68059,1257,39
"Install tensorflow 2.0 | Deep Learning Tutorial 5 (Tensorflow Tutorial, Keras & Python)",2020-07-16,85977,841,125
"What is a Neural Network | Deep Learning Tutorial 4 (Tensorflow2.0, Keras & Python)",2020-07-14,118431,5174,740
"What is a neuron? | Deep Learning Tutorial 3 (Tensorflow Tutorial, Keras & Python)",2020-07-13,76482,4029,274
"Why deep learning is becoming so popular? | Deep Learning Tutorial 2 (Tensorflow2.0, Keras & Python)",2020-07-12,64041,1200,49
"Introduction | Deep Learning Tutorial 1 (Tensorflow Tutorial, Keras & Python)",2020-07-11,177641,3130,161
Sales Insights Data Analysis Project In Power BI - Part 9 - Build version 2 based on feedback,2020-07-06,25865,528,137
Conversation with my brother | Young Entrepreneur and CEO,2020-07-05,3002,153,34
Sales Insights Data Analysis Project In Power BI - Part 8 - Access dashboard in mobile application,2020-07-01,14978,377,28
Sales Insights Data Analysis Project In Power BI - Part 7 - Publish A Report,2020-06-30,19354,356,32
Is data science a hype? | Is data science a bubble?,2020-06-29,20482,623,110
Sales Insights Data Analysis Project In Power BI - Part 6 - Feedback From Stakeholders,2020-06-28,19137,465,46
Sales Insights Data Analysis Project In Power BI - Part 5 - Build Dashboard Or a Report,2020-06-27,46878,835,151
Sales Insights Data Analysis Project In Power BI - Part 4 - Data Cleaning & ETL,2020-06-26,53463,1380,150
Sales Insights Data Analysis Project In Power BI - Part 3 - Data Analysis Using SQL,2020-06-25,77726,1796,187
Sales Insights Data Analysis Project In Power BI - Part 2 - Data Discovery,2020-06-24,65702,1067,58
Sales Insights Data Analysis Project In Power BI - Part 1 - Problem Statement,2020-06-23,138145,2624,165
Artificial Intelligence (AI) vs Machine Learning vs Deep Learning vs Data Science,2020-06-22,43495,1102,109
"Codebasics Live Q&A : 21 June, 2020",2020-06-21,2722,125,13
3 Books that will help you become successful,2020-06-18,2253,138,31
Data Science & Machine Learning Project - Part 8 Deployment & Exercise | Image Classification,2020-06-18,10788,384,57
Data Science & Machine Learning Project - Part 7 Build Website | Image Classification,2020-06-18,12845,131,22
Data Science & Machine Learning Project - Part 6 Flask Server | Image Classification,2020-06-16,13427,261,57
How B com graduate became a data analyst | Data analyst career transition,2020-06-15,114334,3188,265
Data Science & Machine Learning Project - Part 5 Training a Model | Image Classification,2020-06-15,14720,227,33
Data Science & Machine Learning Project - Part 4 Feature Engineering | Image Classification,2020-06-14,15389,264,38
"Data Science Interview Tips, Career Guidance With Ken Jee, Krish Naik, Data Professor & Codebasics",2020-06-14,6274,407,38
Data Science & Machine Learning Project - Part 3 Data Cleaning | Image Classification,2020-06-13,35967,781,184
Data Science & Machine Learning Project - Part 2 Data Collection | Image Classification,2020-06-12,27279,425,39
Data Science & Machine Learning Project - Part 1 Introduction | Image Classification,2020-06-12,47130,854,67
Is Becoming a Data Scientist Hard?,2020-06-11,31208,1309,91
Data Analyst Interview & Job Tips With A Data Analyst | Mechanical Engineer to Data Analyst,2020-06-09,40385,1094,106
Data Analyst Resume Review Session | Review 27 Real Resumes For Data Analyst Position,2020-05-31,40019,1056,76
Preparing Vegetable Garden For Summer 2020,2020-05-30,2730,132,58
Outlier detection and removal using IQR | Feature engineering tutorial python # 4,2020-05-29,31415,686,101
"Outlier detection and removal: z score, standard deviation | Feature engineering tutorial python # 3",2020-05-28,45890,1046,98
"Career guidance, job tips with Amazon Engineer and Cox AI director Part 2",2020-05-26,1076,39,10
"Career guidance, job tips with Amazon Engineer and Cox AI director Part 1",2020-05-26,2240,97,17
Outlier detection and removal using percentile | Feature engineering tutorial python # 2,2020-05-26,59903,1190,104
What is feature engineering | Feature Engineering Tutorial Python # 1,2020-05-25,59666,1030,64
Binary Tree Part 2 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #11,2020-05-21,33784,773,145
Binary Tree Part 1 | BST | Binary Search Tree - Data Structures & Algorithms Tutorials In Python #10,2020-05-19,86858,1486,116
Conversation With Krish Naik,2020-05-17,21745,840,112
Silver Button & A Big Thanks!,2020-05-16,3201,319,111
How a mechanical engineer became a data analyst,2020-05-11,48871,1281,151
How to get programming experience without having a job | 5 Tips on getting real coding experience,2020-05-10,17910,773,50
Can anyone learn coding?,2020-05-06,15835,760,104
Conversation with Amazon Data Scientist: Debjyoti Paul,2020-05-03,33429,840,92
How to learn anything effectively? | How to learn things effectively?,2020-04-30,96342,4492,153
Tree (General Tree) - Data Structures & Algorithms Tutorials In Python #9,2020-04-27,109390,2120,160
Tips to improve programming skills,2020-04-25,11546,579,54
Queue - Data Structures & Algorithms Tutorials In Python #8,2020-04-19,59295,1046,84
Coding Best Practices With Examples | Code Review Best Practices,2020-04-17,17091,390,32
100K subscribers. Thanks For Your Support & Love!,2020-04-15,1300,135,135
How to learn coding for beginners | Learn coding for free | learn coding from scratch,2020-04-05,378936,9232,533
Stack - Data Structures & Algorithms Tutorial In Python #7,2020-03-31,87360,1807,105
Data analyst interview tips | How to prepare for data analyst interview,2020-03-28,95799,3207,116
Collision Handling In Hash Table - Data Structures & Algorithms Tutorials In Python #6,2020-03-22,65320,1386,149
Hash Table - Data Structures & Algorithms Tutorials In Python #5,2020-03-22,136627,2998,138
Linked List - Data Structures & Algorithms Tutorials in Python #4,2020-03-16,253680,5359,388
Data Analyst Resume Examples | Data Analyst Resume Sample,2020-03-13,42180,1108,80
Arrays - Data Structures & Algorithms Tutorials in Python #3,2020-03-12,153840,2984,219
Data Structures & Algorithms  Tutorial in Python #1 - What are data structures?,2020-03-07,319454,5890,209
How my health struggle inspired me to start YouTube Channel?,2020-03-06,10285,970,294
Big O notation - Data Structures & Algorithms Tutorial #2 | Measuring time complexity,2020-03-03,255372,5649,331
Deploy machine learning model to production AWS (Amazon EC2 instance),2020-02-24,43447,682,206
"Feb 22, 2020: Live Q&A With Codebasics",2020-02-22,2249,89,20
"Codebasics Live Q & A - Feb 19, 2020",2020-02-19,1638,83,26
How to switch career to data science from non computer science background,2020-02-16,101461,4321,417
What is ETL | What is Data Warehouse | OLTP vs OLAP,2020-02-15,171991,4663,245
How to learn data analyst skills for free | How to become a data analyst,2020-02-08,482401,22326,2529
Data Analyst vs Data Engineer vs Data Scientist,2020-02-01,107070,3287,233
Learn data science for beginners (How to learn data science for free)?,2020-01-21,205536,7704,436
Data Scientist Salary: How much a data scientist earn,2020-01-04,18123,339,53
Machine Learning & Data Science Project - 4 : Outlier Removal (Real Estate Price Prediction Project),2020-01-01,66475,776,146
Machine Learning & Data Science Project - 7 : Website or UI (Real Estate Price Prediction Project),2020-01-01,44211,727,180
Machine Learning & Data Science Project - 6 : Python Flask Server (Real Estate Price Prediction),2020-01-01,63601,534,250
