Title,Published_date,Views,Likes
Reviewing Mechanical Engineer Resume For Data Science Role,11-10-2021,21371,479
Remote Work Vs Working From Office- Which Is Good For Longer Run?,11-10-2021,3990,161
Why Companies Hire Less Data Scientist In College Placements? For 2nd Tier And 3rd Tier,10-10-2021,12138,337
Live Q&A- Ask Anything Related Data Science,09-10-2021,7445,423
What’s New In Python 3.10? Discussing All The New Features,08-10-2021,8020,318
What Role Should You Select In Analytics Industry? Common Q&A,07-10-2021,6278,223
How To Install Ubuntu Linux In Windows- ft: Paul iNeuron,04-10-2021,14947,138
Perform Easy EDA And Generate Python Using Mito,03-10-2021,5574,213
"20+Jobs Opening In Ineuron For Data Scientist,Data Analyst,Cloud Engineer For Freshers- Just Apply",03-10-2021,19144,655
FLAML - Fast and Lightweight AutoML Library By Microsoft,01-10-2021,6825,322
iNeuron New Office Vlog In Bangalore,28-09-2021,29347,1194
Mito Turns Your Data Visualizations into Code,27-09-2021,5594,185
Time Series Forecasting Made Easy Using Dart Library - Perform Multivariate Forecasting In No Time,25-09-2021,19691,786
Important Points To Remember While Discussing CTC And Inhand Salary In Industry,19-09-2021,17073,601
Appraisal Vs Resignation- Special Video For Everyone,17-09-2021,11366,517
Reviewing A Fresher And Experienced Resume For Data Science Role,14-09-2021,23716,527
Part 5- Create Image classification Using Google ML Kit in an Android app,11-09-2021,7594,113
Problem With Companies On Dealing With Notice Period,10-09-2021,6918,286
Part 4- Developing UI To Select User image and displaying it in an Android app,10-09-2021,3016,48
Why Many People Are Obsessed With FAANG?,09-09-2021,12988,558
Common Mistakes While Preparing Data Science Resumes,08-09-2021,8659,316
Part 3- Handling Storage permissions in Android app- Building ML usecases using Tensorflow lite,08-09-2021,2363,57
Suggest More Services That We Should Provide In iNeuron Affordable Courses,07-09-2021,5599,252
Part 2- Creating and Running a Hello World app in Android Studio,07-09-2021,4428,95
The Smallest Data Science Resume- Feedback On Resumes,06-09-2021,20748,515
Part 1- Building 7 Usecases of ML on Android App Using Tensorflow Lite- Introduction & Installation,06-09-2021,7997,194
Happy Teacher's Day Everyone,05-09-2021,2039,199
How To Write Data Science Project Description In Resumes,04-09-2021,13196,544
What is Cloud Computing In Layman Terms,03-09-2021,8375,272
How Would I Learn Data Science If I Want To Start Over?,02-09-2021,25235,1389
Btech Degree In Data Science  In Collaboration With KIET Group Of Institution And iNeuron,02-09-2021,5578,218
Reviewing Resume For Data Science Role For Freshers- Part 2,01-09-2021,17642,519
India Academia Connect AI Hackathon By Nvidia And Its Partners,31-08-2021,5841,302
Automating Data Cleaning and Data Analysis with Mito,31-08-2021,10245,397
Prerequisites To Apply For Data Scientist And Data Analyst Role Internship In iNeuron,30-08-2021,14961,648
Step By Step Process In EDA And Feature Engineering In Data Science Projects,29-08-2021,22380,1024
Reviewing Resume For Data Science Role- Part 1,28-08-2021,46021,1083
Gartner Hype Cycle Of Emerging Technologies 2021 Is Out,27-08-2021,12315,276
Work Is More Important Than Role- Focus More On The Work⭐⭐⭐⭐,25-08-2021,6198,328
Affordable Machine Learning And Advance Deep Learning  Course From iNeuron,23-08-2021,13391,420
"Clean, Analyze, Visualize And Perform EDA With Klib Library In No Time ️‍🔥️‍🔥️‍🔥️‍🔥",22-08-2021,18067,916
300+ Solved Interview Questions And Answer For Big Data Engineering️‍🔥️‍🔥️‍🔥️‍🔥,21-08-2021,10453,356
Reality Of Job Description😂😂😂😂,19-08-2021,10871,721
Build Your Resume In No Time Using This Online Tool,19-08-2021,21381,805
Mistakes To Avoid While Applying Data Science Jobs? Know How To Fine Tune Your Resume,18-08-2021,8793,448
If You Are Losing Motivation While Learning Data Science- Hear This Story Out️‍🔥️‍🔥️‍🔥️‍🔥️‍🔥,17-08-2021,15655,853
My CTC Is More But Salary IS Less? Why? CTC Vs Inhand Salary,17-08-2021,8213,317
How Deep Made Successful Career Transition From Non Programmer To Data Analyst in Just 4 months,16-08-2021,15921,424
Complete Roadmap To SQL And 100+Interview Questions With Answers For Data Scientist And Data Analyst,15-08-2021,24674,1523
Is Google Colab Pro Slow?,15-08-2021,5443,182
500+ Interview Questions On Data Analyst And Business Analytics,14-08-2021,23641,1121
250+ Data Science Interview Questions- Just Prepare Before The Interview🔥 🔥 🔥 🔥,13-08-2021,26613,1198
GauGAN AI Art Tool By Nvidia- Convert Imagination Into Real Picture- Application Of GAN,13-08-2021,6898,215
Run VSCode In Web-Github Codespaces Introduction,12-08-2021,2948,90
5 Main Reasons Why Data Science Is Growing So Much?,12-08-2021,8068,428
Based on WorkEX What Work You May Get As A Data Scientist?,11-08-2021,7490,302
All My Passive Income From Starting Of My Career- Necessity Is The Mother Of My Passive Income😂😂😂😂,11-08-2021,23935,933
My Salary As A Data Scientist From Starting Of My Career,10-08-2021,215670,7434
How Santosh Cracked Data Science Interview As Fresher With 12 Lakhs per annum,09-08-2021,86973,2523
Top 7 Best Extensions In VSCode For Python Programming That I Use For Data Science Projects,09-08-2021,17267,601
Are you Losing Motivation for Programming? Follow These Steps To Overcome It,08-08-2021,17588,1042
How To Land The Right Data Science Job,08-08-2021,9634,405
Announcing iNeuron Open Data Analyst And Business Analytics Internship,07-08-2021,25478,1182
2nd Tier And 3rd Tier Colleges To Data Scientist Or Data Analyst Role- Yes It Is Possible🔥🔥🔥,06-08-2021,10124,359
7 Days Plan To Learn Statistics For Data Analyst And Data Scientist,06-08-2021,312443,2892
Announcing iNeuron Data Science Open Internship To All With 15+ Different Domains Projects,05-08-2021,52931,2988
20+ Data Science Project Ideas From 5 Domains,03-08-2021,22261,1151
Analyzing Python Data Quickly with Mito,03-08-2021,6741,251
The Easiest way to create a README For Github,02-08-2021,10214,469
30+ Python Practice Problem Set For Data analyst And Data Scientist- Part 1,02-08-2021,29632,1363
Funny Bloopers And Behind The Scenes And Mistakes Part 2 | Data Science Videos😂😂😂😂,01-08-2021,5749,305
"Acer Predator Helios 300 With Nvidia RTX 3060  Deep learning Benchmarking, Get The Speed You Want😎🎉😎",01-08-2021,7654,158
12 days Plan To Learn Python For Data Analyst And Data Science,31-07-2021,79194,4144
Many Reasons Why I Like VS Code IDE- Data Science,30-07-2021,10300,268
Data Structures And Algorithms Playlist For You All- Ft- iNeuron,29-07-2021,12390,360
Is Data Privacy A Major Issue? Sharing A Recent Incident,29-07-2021,2654,141
How Did We Start iNeuron? Affordable Education Company,28-07-2021,12621,689
Coding In Movies Vs Reality Vs Coding Using Github Copilot-Savage Moments,27-07-2021,13206,947
Funny Behind The Scenes And Mistakes | Data Science Videos😂😂😂😂,26-07-2021,41594,1659
How Much Maths Do You Need To Know To Become A Data Scientist,25-07-2021,21102,1145
Are You Procrastinating To Learn Data Science?,24-07-2021,29618,1358
"Face Detection, Face Mesh, OpenPose, Holisitic, Hand Detection Using MediaPipe On Live Stream Video",24-07-2021,11404,403
Tracker Sheet To Learn Data Analyst Curriculum From My Playlist- Track Your Learning,23-07-2021,18278,894
Skills Required For A Data Analyst In 2021- How To Learn By Self Study And For Free in 3 Months,22-07-2021,50000,2788
My New Laptop Acer Predator Helios 300 Unboxing With Nvidia RTX 3060 For Deep Learning And Gaming,22-07-2021,10355,288
Non Programmer To Data Analyst Or Data Scientist?Which Is Best To Get In Analytics Industry Quickly,19-07-2021,26818,1041
"Preparing Data Science From My Playlist?- Use This Tracker To Track Your Learning For ML,DL,Stats",18-07-2021,34257,1720
Fake Jobs In Data Science- Be Careful And Report Them,18-07-2021,17468,671
Krish Naik 400k Special Video,17-07-2021,5353,524
Pros And Cons Working In Startup Vs Service Vs Product Based Companies As Data Scientist,17-07-2021,17699,642
Road To 400K Live Q&A- Ask Anything Related Data Science,16-07-2021,8930,532
Are You Learning Data Science In The Right Way?,16-07-2021,20827,711
"Announcing AWS Cloud Master And AIOPS , MLOPS Affordable Course From iNeuron",15-07-2021,5171,155
Can We Have A YouTube Channel With Full Time Job Like Data Science,15-07-2021,3239,155
How To Handle Career Gaps In Job Interviews?,14-07-2021,8148,477
Crab Mentality- Stay Away From These Kind Of People🦀🦀🦀🦀,14-07-2021,16635,1175
Is There Any Official Certification For Data Science,13-07-2021,30188,1072
What I Hate About Job Interviews?,12-07-2021,9122,524
Important SQL Interview Questions FOR DATASCIENCE & ANALYTICS- Part 2- Ft: @Satyajit Pattnaik,12-07-2021,18684,443
Data Scientist Opening In Tredence For Fresher And Experienced- Apply You Will Get Lucky,11-07-2021,15299,627
Making Money As A Data Scientist- How I Doubled My Income💲 💲 💲 💲,11-07-2021,21413,1031
"BlockChain,Cloud,Devops,Data Science, Big Data, Cybersecurity- Which Technology To Select?😰😰😰😰😰",10-07-2021,32048,1397
"Huge Openings Data Scientist, ML engineer, Data Analyst For Freshers In PAYPAL 2021-Start Applying",09-07-2021,22029,717
Now You Have AI Assisted SQL Query Generator- Don't Worry You Will Not Lose Jobs!,09-07-2021,13721,392
Companies To Apply For Data Analyst In 2021- How To Apply?,08-07-2021,15123,738
Make Money While Studying-Build Your Brand,07-07-2021,14327,858
Privacy Issues With Github Copilot😲😲😲😲,07-07-2021,4178,166
Minimum Laptop Configuration To Start With Machine Learning And Deep Learning💻💻💻💻💻💻,06-07-2021,31679,1094
Generate Python Faster with Mito⭐ ⭐ ⭐ ⭐,06-07-2021,5050,239
My View On Github Copilot- Will Developers Lose Their Jobs?Must Watch For Everyone,05-07-2021,15493,704
Companies To Apply For Data Scientist And ML And DL Roles in 2021- Dont Wait-Just Apply✌ ✌ ✌ ✌ ✌ ✌,04-07-2021,61410,2406
Average Salary Hike Of Data Scientist In 2021 From the Data I Collected From January,03-07-2021,19893,561
Github Copilot Vs Tabnine AI Code Completion Autocomplete Vs KITE- Which Is Your Favourite ?,03-07-2021,19955,399
Sharing Devavrat Experience Of Working In Nvidia As Intern ⭐⭐⭐⭐,02-07-2021,5229,186
Writing Machine Learning Pipelines And Deep Learning Code Using Github Copilot ⭐⭐⭐⭐⭐⭐,02-07-2021,25283,568
First Time Using Github Copilot- How To Do Coding Using 1 Finger😂😂😂😂😂,01-07-2021,54996,1600
Breakthrough Announcement- Github Copilot- Your AI Pair Programmer- Saviour For Developers🙌🙌🙌🙌🙌🙌🙌,01-07-2021,10803,488
Last Week Of Data Science Preparation Before Job Interviews- Maximize Your Chances,30-06-2021,14532,381
Follow This Statergy To Increase Your Salary Hike In Job Interviews- Learn This Art💲 💲 💲 💲 💲 💲,30-06-2021,13815,760
Interesting Interview Question On Performance Metrics,29-06-2021,4875,151
Tutorial 3-Creating My Simple Weekly Study Timetable Using Django Views And Urls,29-06-2021,5167,143
Mistakes I Made In College Which You Should Not Repeat,28-06-2021,9500,554
Sharing My Time Table And Efficient Strategy To Learn Machine Learning In Quick Time,27-06-2021,30858,1116
How Data Science Projects Are Implemented Using Agile Methodology🤔 🤔 🤔 🤔 🤔 🤔 🤔,26-06-2021,20293,488
Important SQL Interview Questions FOR DATASCIENCE & ANALYTICS- Ft: @Satyajit Pattnaik,25-06-2021,28235,976
How A Support Engineer Applied ML Knowledge In His Domain And Cracked Data Science Job 👨‍🔬👨‍🔬👨‍🔬👨‍🔬,24-06-2021,5917,233
Day To Day Activities Of A Full Stack Data Scientist By Saurav From Nvidia And Interview Process,23-06-2021,14568,436
How A Manual Tester Applied Data Science Knowledge In Their Domain- Successful Transition Story,23-06-2021,7791,149
"AutoGluon + Nvidia Rapids-Advancing the State of the Art in AutoML,Now 10x Faster with NVIDIA RAPIDS",23-06-2021,2952,97
White Box Vs Black Box Models In Machine Learning- Data Science Interview Question,21-06-2021,9991,373
Developed Many End To End Data Science Projects But Unable To Explain In Interviews- General Q&A,20-06-2021,9857,344
Real Time Image Segmentation And Object Detection From Live Video Stream Using PixelLib,20-06-2021,7491,205
Image Segmentation And Object Detection Using 5 Lines Of Code Using PixelLib,20-06-2021,10952,255
Face Recognition Project In Flask Web Framework- Recognize Different Faces Easily,19-06-2021,13749,472
OpenCV Face And Eye Detection In Flask Web Framework,19-06-2021,10822,352
Tutorial 2-Creating And Running A Default Django Project In Local Server,17-06-2021,4651,119
"Common Doubts,Questions And Fear After Getting Data Science Job- Must For EveryOne😕😕😕😕",16-06-2021,14222,480
Introduction To Django Python Web Framework. When To Use Django OR When To Use Flask?,15-06-2021,8630,245
How to Make an Data Science Projects More Likely to Succeed? Sharing My Experience,15-06-2021,10019,144
The Importance Of Story Telling In Data Science Interviews,15-06-2021,10316,304
Video Streaming Using Webcam In Flask Web Framework,14-06-2021,15575,469
Why Data Science Project Fails? Sharing My 9+ Years Experience,14-06-2021,4745,218
Sunday Live Q&A- Ask Anything Related Data Science,13-06-2021,6452,416
Integrating CSS and Javascript in Flask Web Framework,13-06-2021,5893,175
Understanding Jinja2 Template Engine In Flask Web Framework,12-06-2021,6838,238
Integrating HTML With FLASK Web Framework With HTTP VERBS(Get And POST),12-06-2021,10376,286
How Do You Handle Multicollinearity In Machine Learning-Asked In Interview,11-06-2021,4083,109
Building Url Dynamically In Flask Web Framework,11-06-2021,10547,309
Best Practices For Becoming A Good Python Developer,11-06-2021,9133,398
When To Use Entropy Vs When To Use Gini Impurity In Decision Tree- Asked In Interviews,11-06-2021,6200,165
Understanding A Sample Flask Web Application Skeleton,10-06-2021,13816,378
Setting VSCode IDE To Learn Flask Web Framework For Machine Learning,10-06-2021,15920,425
Introduction To Flask Web Framework,09-06-2021,29331,714
How Do I Prepare My Data Science Materials- Evolution From Writing Notes From Book To Ipad,09-06-2021,17684,273
Dynamic Pricing Machine Learning Usecase Discussion,09-06-2021,9751,212
Announcing iNeuron's 30 Days Fast Track Data Science Interview Preparation Live Classes,08-06-2021,5948,107
How To Handle Data Privacy In Data Science Projects- Solution- Asked In Interview,08-06-2021,5340,141
How To Handle Data Privacy In ML Projects?-Machine Learning Interview#8,07-06-2021,3296,160
Announcing ML Usecase Discussion Series- Dynamic Pricing-Part 1,07-06-2021,7845,161
Which Machine Learning Algorithm Will You Apply For A Usecase-Best Way To Answer In Interview?,07-06-2021,9258,274
Applied More Than 250+ Data Science Jobs But Still Not Getting Calls? What Is the Solution For This?,06-06-2021,18332,686
Announcing Our Second Startup- Firstfiling.in Legal And Tax Compliances,05-06-2021,9558,503
Success Story Of Ashesh- Getting Job As Data Scientist In US,05-06-2021,5279,174
Announcing iNeuron Big Data Masters Affordable Course,04-06-2021,10303,259
Machine Learning Interview Series With Solution #6-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,04-06-2021,6153,213
Deep Learning Interview Series #7-Asked In Interview-Epochs Vs Batch Vs Iterations In Deep Learning,04-06-2021,5643,224
Machine Learning Interview Series #5-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,03-06-2021,7277,193
Deep Learning Computer Vision Interview Series #4-Asked In Interview ⭐ ⭐⭐⭐⭐⭐⭐⭐,02-06-2021,6853,198
Tutorial 2-Linear Algebra For ML-How To Add 2 Vectors,02-06-2021,4006,149
Linear Algebra-What is Scalar and Vectors And Its Practical Applications In Machine Learning? ⭐⭐⭐⭐⭐⭐,01-06-2021,9155,261
Success Story Of Ameya- Transition To Devops In Vodafone  At GermanyFt:iNeuron,01-06-2021,2414,70
Explaining An End To End Machine Learning Project To A Interviewer,31-05-2021,24504,924
Explaining An End To End Data Analyst/Business Analytics Projects,30-05-2021,36680,1194
Success Story Of Dhruv- Transition As Data Scientist In McKinsey & Company,29-05-2021,11898,343
Permutation And Combination Easily Explained,28-05-2021,8747,395
Success Story Of Rahul- Transition From Support To Data Analyst|ft: iNeuron,28-05-2021,9843,249
Custom Training Question Answer Model Using Transformer BERT,27-05-2021,13761,387
Success Story Of Purvansh- How He Got Into GSOC In The Field Of Machine Learning| Ft:iNeuron,27-05-2021,3826,154
Success Story Of Sarthak- Transition From Mechanical Engineer To Data Science- Ft:iNeuron,26-05-2021,5270,197
All Important Topics In Probability For Data Science In 1 Video,25-05-2021,22880,870
Success Story Of Arun- Transition From Support To Data Science Ft: iNeuron,25-05-2021,4952,143
Monday Live Q&A Ask Anything Related Data Science,24-05-2021,6060,441
Generating Python By Editing Spreadsheet Using Mito,24-05-2021,3523,145
How To Perform Hypothesis Testing-Confidence Interval|Z Test Statistics| Derive Conclusion- Part 1,23-05-2021,21949,677
What Should Be A Proper Structure Of Your Data Science Projects In Github?,23-05-2021,9580,446
Training Machine Learning Algorithms In GPU Using Nvidia Rapids cuML Library,22-05-2021,3377,144
Deep Successful Career Transition From Mechanical Engineer & Teacher To Data Analyst|Ft:iNeuron,22-05-2021,10065,351
Himanshu Successful Career Transition From MCA Graduate Fresher To Data Science- Ft: iNeuron,21-05-2021,7054,232
Tutorial 2- Fine Tuning Pretrained Model On Custom Dataset Using 🤗 Transformer,20-05-2021,14563,376
Bitcoin Market Crash Analyzing As A Data Scientist Part 1-₿₿₿₿₿₿,20-05-2021,7593,376
Tutorial 1-Transformer And Bert Implementation With Huggingface,18-05-2021,35441,1015
"Introduction To Nvidia Rapids- cuDF,cuML Libraries- Run Anything In GPU⭐⭐⭐⭐⭐⭐",18-05-2021,5717,199
Tutorial 8- Pyspark Multiple Linear Regression Implementation In Databricks,17-05-2021,8762,171
Power Law Distribution And Its Examples And Application- Statistics Interview Question,17-05-2021,12339,294
Z Score And Its Applications- Important Stats Interview Question,16-05-2021,17297,628
Whether We Should Reduce False Positive Or Negative In Confusion Matrix-Machine Learning Interviews,16-05-2021,14479,453
3 Important Things To Focus On Data Science #shorts,15-05-2021,41159,2004
"Tools, Softwares And Tips For Virtual Live Interviews",15-05-2021,4641,198
DATA SCIENCE Is All About Continuous Learning #shorts,14-05-2021,18082,841
Octoparse- Easy Web Scraping Tool Without Any Coding Knowledge,14-05-2021,24129,534
Focus In These Things In Data Science Interview #shorts,13-05-2021,11293,521
Most Important Skills In Data Science For Jobs #shorts,13-05-2021,32088,1611
How Sudhanshu And iNeuron Team Overcome COVID- Precaution To Be Taken-Stay Safe,13-05-2021,5627,237
Tutorial 7- Pyspark With Python|Introduction To Databricks,12-05-2021,19297,267
Tutorial 6- Pyspark With Python-Introduction To Pyspark Mlib,11-05-2021,8559,203
Different Type Of Sampling Techniques With Examples| Statistics Interview Question,11-05-2021,16779,570
Tutorial 5- Pyspark With Python-GroupBy And Aggregate Functions,10-05-2021,10266,193
How To Start Data Science From My Channel- Follow This Order Of Playlist,10-05-2021,13106,951
"1000+ VideosRegarding Data Science,ML,DL Uploaded In My Channel In 2.5 years🥳 🥳 🥳 🥳 🥳",09-05-2021,7376,399
5 Number Summary And How To handle Outliers Using IQR-Statistics,09-05-2021,13719,478
Stats Interview Series #3-Asked In Interview #shorts⭐ ⭐⭐⭐⭐⭐⭐⭐,09-05-2021,10857,271
Why Deep Learning Is Becoming So Popular?🔥🔥🔥🔥🔥🔥,08-05-2021,80173,880
Atoti Library- Free Python BI Analytics Platform,07-05-2021,9215,389
50+ Successful Transition Stories To Data Science In 2 months- Ft Ineuron Team ✨🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,07-05-2021,5572,297
Top 25 Machine Learning & AI Hackathons To Move To Data Science,06-05-2021,13185,546
Tutorial 4- Pyspark With Python-Pyspark DataFrames- Filter Operations,06-05-2021,10015,230
Tutorial 3- Pyspark With Python-Pyspark DataFrames- Handling Missing Values,05-05-2021,15164,325
Tutorial 2-Pyspark With Python-Pyspark DataFrames- Part 1,04-05-2021,24383,481
Tutorial 1-Pyspark With Python-Pyspark Introduction and Installation,04-05-2021,85853,1211
10 Tips To Learn Python Efficiently And Effectively,03-05-2021,19288,1067
Sunday Live Q&A Ask Anything Related Data Science,02-05-2021,7570,370
"Bernoulli distribution- Mean, Variance And Standard Deviation OF Bernoulli distribution",02-05-2021,17249,425
Introduction To Statistics And Its Types For Starters,01-05-2021,47581,1357
Review Discussion Of Data Scientist Resume- Tips For Preparing A Perfect Resume,30-04-2021,11551,373
DataPrep Library- Perform Faster EDA Within No Time,30-04-2021,11135,486
Complete Road Map Towards Data Science In 2021,29-04-2021,121786,4345
All Type Of Cross Validation With Python All In 1 Video,28-04-2021,16107,611
AutoScraper- Scrap Images From Amazon Ecommerce- End To End Web Scraping Application,28-04-2021,6213,211
Complete RoadMap Towards Data Analyst In 2021,27-04-2021,60277,2657
